epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5572.92,0.72684,0.63326,0.96298,0.82374,0.89482,0.92263,0.8012,0.55374,0.64369,0.93595,0.000990365,0.000990365,0.000990365
43,5695.12,0.71932,0.60893,0.98375,0.88803,0.87816,0.87988,0.7853,0.527,0.68882,0.92351,0.000973861,0.000973861,0.000973861
44,5817.25,0.68822,0.62857,0.9673,0.81716,0.91172,0.83188,0.72625,0.51383,0.64087,0.92936,0.000957358,0.000957358,0.000957358
45,5939.75,0.65063,0.64202,0.94617,0.8172,0.91113,0.84484,0.73346,0.52856,0.73053,0.90239,0.000940855,0.000940855,0.000940855
46,6062.43,0.76908,0.70713,0.97572,0.86798,0.88332,0.85196,0.74996,0.51641,0.63929,0.92651,0.000924352,0.000924352,0.000924352
47,6184.88,0.69803,0.68018,0.9671,0.87818,0.89663,0.88089,0.78356,0.50721,0.58905,0.93963,0.000907848,0.000907848,0.000907848
48,6307.78,0.64453,0.61238,0.97878,0.94361,0.84285,0.93085,0.80476,0.53251,0.62069,0.95622,0.000891345,0.000891345,0.000891345
49,6432.74,0.70076,0.61949,0.9503,0.85966,0.87935,0.9038,0.78827,0.52807,0.63122,0.95305,0.000874842,0.000874842,0.000874842
50,6559.63,0.66081,0.55138,0.94108,0.82254,0.87515,0.86843,0.76753,0.52228,0.70011,0.93352,0.000858338,0.000858338,0.000858338
51,6684.14,0.6023,0.5412,0.94666,0.88186,0.87741,0.90722,0.81203,0.47791,0.66954,0.89782,0.000841835,0.000841835,0.000841835
52,6806.72,0.63426,0.55717,0.95741,0.92051,0.86691,0.93737,0.83783,0.46867,0.60729,0.89542,0.000825332,0.000825332,0.000825332
53,6973,0.66589,0.53167,0.95354,0.8455,0.91073,0.85846,0.77637,0.48196,0.68555,0.90301,0.000808828,0.000808828,0.000808828
54,7135.84,0.72452,0.57671,0.95007,0.85057,0.92391,0.88988,0.80398,0.46839,0.59384,0.87995,0.000792325,0.000792325,0.000792325
55,7301.78,0.68154,0.52913,0.92479,0.88185,0.91304,0.94603,0.85439,0.43312,0.54541,0.86507,0.000775822,0.000775822,0.000775822
56,7463.02,0.64529,0.5353,0.93716,0.90856,0.89712,0.95184,0.85935,0.4443,0.54033,0.86747,0.000759318,0.000759318,0.000759318
57,7594.83,0.62995,0.52899,0.93206,0.80427,0.93435,0.90851,0.83006,0.4325,0.55875,0.87606,0.000742815,0.000742815,0.000742815
58,7718.19,0.64145,0.55296,0.95139,0.84003,0.90085,0.88004,0.80634,0.43831,0.62426,0.87434,0.000726312,0.000726312,0.000726312
59,7841.67,0.598,0.55983,0.93011,0.86173,0.90873,0.92472,0.83728,0.45313,0.62533,0.87526,0.000709809,0.000709809,0.000709809
60,7965.34,0.62012,0.55279,0.91241,0.86513,0.88733,0.92549,0.84588,0.45792,0.5716,0.88355,0.000693305,0.000693305,0.000693305
61,8088.9,0.6068,0.50631,0.92424,0.86392,0.87911,0.88567,0.79669,0.45985,0.58095,0.90783,0.000676802,0.000676802,0.000676802
62,8212.22,0.62211,0.50961,0.90567,0.88428,0.90085,0.88553,0.79882,0.44462,0.62331,0.88186,0.000660299,0.000660299,0.000660299
63,8336.11,0.55102,0.48121,0.9293,0.8813,0.93478,0.94225,0.85891,0.42163,0.48461,0.87203,0.000643795,0.000643795,0.000643795
64,8459.4,0.64416,0.52631,0.93459,0.89406,0.93478,0.93851,0.8564,0.45322,0.5262,0.88622,0.000627292,0.000627292,0.000627292
65,8583.79,0.59424,0.48499,0.91456,0.89281,0.91666,0.91979,0.82715,0.48722,0.52702,0.93338,0.000610789,0.000610789,0.000610789
66,8707.81,0.59029,0.47338,0.92515,0.90929,0.87585,0.94454,0.85241,0.49166,0.52137,0.94311,0.000594286,0.000594286,0.000594286
67,8838.25,0.5289,0.4431,0.91736,0.93086,0.90374,0.93936,0.85546,0.47984,0.56697,0.92501,0.000577782,0.000577782,0.000577782
68,8974.41,0.61306,0.46669,0.92966,0.9449,0.92005,0.93156,0.83926,0.47583,0.57587,0.94209,0.000561279,0.000561279,0.000561279
69,9162.82,0.62467,0.49889,0.92507,0.87638,0.90847,0.91813,0.82158,0.49452,0.60316,0.97871,0.000544776,0.000544776,0.000544776
70,9332.06,0.58243,0.48075,0.92549,0.88589,0.88998,0.92069,0.83527,0.47521,0.52898,0.93541,0.000528272,0.000528272,0.000528272
71,9501.4,0.55187,0.43712,0.89303,0.89956,0.87241,0.92697,0.83929,0.47457,0.49553,0.94288,0.000511769,0.000511769,0.000511769
72,9670.93,0.57295,0.47378,0.90542,0.86788,0.92259,0.92386,0.84981,0.46303,0.51173,0.95515,0.000495266,0.000495266,0.000495266
73,9838.49,0.57438,0.46365,0.90041,0.88601,0.90888,0.93602,0.87069,0.41317,0.50594,0.89666,0.000478762,0.000478762,0.000478762
74,10004.7,0.56865,0.44584,0.90008,0.88906,0.90217,0.93507,0.86572,0.42584,0.52999,0.88906,0.000462259,0.000462259,0.000462259
75,10179,0.56843,0.4285,0.90148,0.86203,0.8913,0.91626,0.84263,0.43059,0.59383,0.89655,0.000445756,0.000445756,0.000445756
76,10333.6,0.58316,0.47477,0.92406,0.88243,0.86881,0.89947,0.82901,0.44582,0.61871,0.90238,0.000429253,0.000429253,0.000429253
77,10485.5,0.50261,0.43583,0.90538,0.86651,0.88043,0.91733,0.842,0.44155,0.60275,0.91518,0.000412749,0.000412749,0.000412749
78,10639.1,0.55276,0.44705,0.9113,0.85027,0.88043,0.90741,0.83168,0.42329,0.63613,0.89325,0.000396246,0.000396246,0.000396246
79,10794,0.5117,0.41544,0.88999,0.86207,0.86957,0.90984,0.82979,0.45225,0.62781,0.92773,0.000379743,0.000379743,0.000379743
80,10949.1,0.5622,0.41238,0.92348,0.87854,0.86957,0.92321,0.84187,0.45021,0.58734,0.92495,0.000363239,0.000363239,0.000363239
81,11106.1,0.5435,0.42806,0.92347,0.87882,0.8913,0.92061,0.85302,0.43431,0.56044,0.93075,0.000346736,0.000346736,0.000346736
82,11264.4,0.52801,0.42,0.92015,0.88551,0.91304,0.92571,0.85797,0.4212,0.54154,0.90764,0.000330233,0.000330233,0.000330233
83,11421.1,0.50899,0.39468,0.89159,0.88508,0.91304,0.927,0.85887,0.43026,0.57081,0.90287,0.000313729,0.000313729,0.000313729
84,11577.7,0.54142,0.42614,0.88814,0.86396,0.91304,0.91691,0.85067,0.40668,0.57483,0.89094,0.000297226,0.000297226,0.000297226
85,11733.1,0.56936,0.41191,0.9059,0.86487,0.91304,0.91622,0.84406,0.40254,0.56103,0.88718,0.000280723,0.000280723,0.000280723
86,11890.9,0.49957,0.37712,0.90578,0.87321,0.91189,0.91198,0.85003,0.40085,0.54417,0.88788,0.00026422,0.00026422,0.00026422
87,12054,0.50011,0.376,0.88358,0.86091,0.91304,0.92377,0.86359,0.3889,0.51815,0.8958,0.000247716,0.000247716,0.000247716
88,12217.9,0.48521,0.36896,0.88743,0.884,0.91304,0.92855,0.86329,0.37445,0.51131,0.87945,0.000231213,0.000231213,0.000231213
89,12383.4,0.51292,0.37062,0.88024,0.89016,0.91304,0.92381,0.85655,0.38748,0.53476,0.89427,0.00021471,0.00021471,0.00021471
90,12549.8,0.47751,0.3728,0.89581,0.88887,0.91304,0.91714,0.86012,0.37509,0.54343,0.87659,0.000198206,0.000198206,0.000198206
91,12715.8,0.39412,0.31007,0.82326,0.86286,0.91304,0.92271,0.86307,0.37735,0.51475,0.89107,0.000181703,0.000181703,0.000181703
92,12878.8,0.40777,0.32824,0.82137,0.8514,0.90376,0.92149,0.86553,0.37217,0.52188,0.87765,0.0001652,0.0001652,0.0001652
93,13042.8,0.37426,0.30416,0.8127,0.84731,0.88998,0.90817,0.85321,0.37693,0.55421,0.88336,0.000148696,0.000148696,0.000148696
